val_loss,epoch,step,train_loss
0.3564607501029968,0,0,
0.08043251186609268,0,27,
,0,27,0.12423982471227646
0.013680463656783104,1,55,
,1,55,0.015393753536045551
0.008107650093734264,2,83,
,2,83,0.006542674265801907
0.005621615797281265,3,111,
,3,111,0.004548112396150827
0.0041120112873613834,4,139,
,4,139,0.003739050356671214
0.0036243139766156673,5,167,
,5,167,0.002896724035963416
0.0030062624718993902,6,195,
,6,195,0.002501212526112795
0.002760926028713584,7,223,
,7,223,0.002041667001321912
0.002320121740922332,8,251,
,8,251,0.0017791403224691749
0.0020672171376645565,9,279,
,9,279,0.0016925404779613018
0.0020672171376645565,10,280,
